candidate,decision,best_epoch_mean,auc_mean,auc_std,ap_mean,ap_std,acc_mean,acc_std,bal_mean,bal_std,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std,spec_mean,spec_std,tn,fp,fn,tp,thresholds
saved_baseline,fixed0.5,4.8,0.9854779957702681,0.006515076427689486,0.9766861011254097,0.011130511152153655,0.9410842405606804,0.01814234125155297,0.9381291027053491,0.017887706182300064,0.9121909051997811,0.024785290592446604,0.8982234703940554,0.049999726018297073,0.9295442908346135,0.041475602575874806,0.946713914576085,0.03229073335276708,605,34,22,290,0.5000;0.5000;0.5000;0.5000;0.5000
saved_baseline,val_balacc,4.8,0.9854779957702681,0.006515076427689486,0.9766861011254097,0.011130511152153655,0.936973323360758,0.020487700269138466,0.9375516728913903,0.01305930949219051,0.9080463980463982,0.02712930050347141,0.8821217969159008,0.06619939616354377,0.9391193036354327,0.026134621075499805,0.9359840421473479,0.03858255348386279,598,41,19,293,0.2882;0.0627;0.0789;0.7785;0.6952
saved_baseline,val_f1,4.8,0.9854779957702681,0.006515076427689486,0.9766861011254097,0.011130511152153655,0.9380204437796061,0.01890030341873552,0.927728997728552,0.03208887902128085,0.9038334544786158,0.03382282395920865,0.920170741637404,0.06829587773912793,0.8976958525345623,0.0885821501811615,0.9577621429225417,0.03779025255389412,612,27,32,280,0.9962;0.0627;0.5000;0.7785;0.6952
saved_baseline,reported,4.8,0.9854779957702681,0.006515076427689486,0.9766861011254097,0.011130511152153655,0.936973323360758,0.020487700269138466,0.9375516728913903,0.01305930949219051,0.9080463980463982,0.02712930050347141,0.8821217969159008,0.06619939616354377,0.9391193036354327,0.026134621075499805,0.9359840421473479,0.03858255348386279,598,41,19,293,0.2882;0.0627;0.0789;0.7785;0.6952
dropout_0p10,fixed0.5,3.6,0.9859966399138687,0.006018254969321949,0.9768586565041477,0.010644308613195732,0.9442256018172248,0.015374369632649432,0.9428911028405068,0.013423618279589674,0.9172660130675121,0.020881893047044624,0.897416635689012,0.037980274219507795,0.939068100358423,0.020919061066845233,0.9467141053225905,0.023390957421200162,605,34,19,293,0.5000;0.5000;0.5000;0.5000;0.5000
dropout_0p10,val_balacc,3.6,0.9859966399138687,0.006018254969321949,0.9768586565041477,0.010644308613195732,0.943256045873847,0.028012689894764294,0.939827074331036,0.020615919832892852,0.9161377920023546,0.03821687125792008,0.9068524233190857,0.07931522393060819,0.9295954941116232,0.02635912176034105,0.9500586545504486,0.04580513914588302,607,32,22,290,0.6588;0.8885;0.0675;0.7802;0.6728
dropout_0p10,val_f1,3.6,0.9859966399138687,0.006018254969321949,0.9768586565041477,0.010644308613195732,0.9495498490262889,0.021076888149765292,0.9322014864215913,0.031009041479995624,0.9189527622845773,0.03664968219024678,0.9621615817931986,0.02588532190173685,0.8815668202764977,0.06284918073546517,0.982836152566685,0.012693518725785918,628,11,37,275,0.9621;0.8885;0.5000;0.9311;0.8765
dropout_0p10,reported,3.6,0.9859966399138687,0.006018254969321949,0.9768586565041477,0.010644308613195732,0.943256045873847,0.028012689894764294,0.939827074331036,0.020615919832892852,0.9161377920023546,0.03821687125792008,0.9068524233190857,0.07931522393060819,0.9295954941116232,0.02635912176034105,0.9500586545504486,0.04580513914588302,607,32,22,290,0.6588;0.8885;0.0675;0.7802;0.6728
dropout_0p40,fixed0.5,5.0,0.9859536043084638,0.007787290317526089,0.9772333027987361,0.0122060324180718,0.9379539599434887,0.023990363093893255,0.938297294901622,0.021143583499585797,0.9091456443810386,0.03302517136631871,0.8830054612403592,0.05817805568872848,0.9391705069124423,0.030402740712380548,0.9374240828908015,0.035068139445359574,599,40,19,293,0.5000;0.5000;0.5000;0.5000;0.5000
dropout_0p40,val_balacc,5.0,0.9859536043084638,0.007787290317526089,0.9772333027987361,0.0122060324180718,0.9453502867115432,0.026832207765685838,0.942196907377388,0.024892072491106733,0.9186943920840216,0.03888044942524016,0.9072005945107502,0.06548169204760716,0.932821300563236,0.0341782353471035,0.95157251419154,0.036224948468239225,608,31,21,291,0.6602;0.8425;0.2001;0.6527;0.6796
dropout_0p40,val_f1,5.0,0.9859536043084638,0.007787290317526089,0.9772333027987361,0.0122060324180718,0.9453502867115432,0.026832207765685838,0.936554546266277,0.03528105464003822,0.9156673650569946,0.04301541859847702,0.9297812396720406,0.07551414828027589,0.9105990783410138,0.08342548367580743,0.96251001419154,0.041703946572556716,615,24,28,284,0.9947;0.8425;0.2001;0.6527;0.6796
dropout_0p40,reported,5.0,0.9859536043084638,0.007787290317526089,0.9772333027987361,0.0122060324180718,0.9453502867115432,0.026832207765685838,0.942196907377388,0.024892072491106733,0.9186943920840216,0.03888044942524016,0.9072005945107502,0.06548169204760716,0.932821300563236,0.0341782353471035,0.95157251419154,0.036224948468239225,608,31,21,291,0.6602;0.8425;0.2001;0.6527;0.6796
hidden128_attn64,fixed0.5,5.4,0.9846236688355159,0.00725271655930568,0.9756112828212491,0.010042746918161862,0.9421313609795284,0.022772811613586883,0.9372655009781458,0.021960921386095063,0.9132081247450895,0.03195885454358774,0.9053583036681628,0.05253941920606631,0.9230926779313876,0.03438281941284712,0.9514383240249039,0.03126744769444759,608,31,24,288,0.5000;0.5000;0.5000;0.5000;0.5000
hidden128_attn64,val_balacc,5.4,0.9846236688355159,0.00725271655930568,0.9756112828212491,0.010042746918161862,0.9390232416410427,0.012087287008916328,0.933270843049392,0.014421062930044843,0.9079950884500644,0.017740216796764977,0.9015406162464984,0.03896969163993101,0.9166410650281618,0.03808651395736065,0.949900621070622,0.023346920545688946,607,32,26,286,0.2457;0.2188;0.7583;0.5000;0.6272
hidden128_attn64,val_f1,5.4,0.9846236688355159,0.00725271655930568,0.9756112828212491,0.010042746918161862,0.9432782071525526,0.01523291475081839,0.9340145977363061,0.023454262617137817,0.9125584515305747,0.025671309879773445,0.9204301075268818,0.029927368202273805,0.9071172555043523,0.05424750992040918,0.9609119399682597,0.0182574959531586,614,25,29,283,0.9139;0.2188;0.7583;0.5000;0.8234
hidden128_attn64,reported,5.4,0.9846236688355159,0.00725271655930568,0.9756112828212491,0.010042746918161862,0.9390232416410427,0.012087287008916328,0.933270843049392,0.014421062930044843,0.9079950884500644,0.017740216796764977,0.9015406162464984,0.03896969163993101,0.9166410650281618,0.03808651395736065,0.949900621070622,0.023346920545688946,607,32,26,286,0.2457;0.2188;0.7583;0.5000;0.6272
hidden512_attn256,fixed0.5,5.6,0.9847829101567902,0.0066058651833022135,0.9747020810603756,0.009973300220332106,0.9389789190836311,0.020455209888841298,0.9431038373491244,0.01578895271674792,0.9118333300686242,0.02673394302077277,0.8732799430390041,0.046844059514190975,0.955094726062468,0.007363754026424638,0.931112948635781,0.029737898260395943,595,44,14,298,0.5000;0.5000;0.5000;0.5000;0.5000
hidden512_attn256,val_balacc,5.6,0.9847829101567902,0.0066058651833022135,0.9747020810603756,0.009973300220332106,0.9495498490262888,0.018291776756806325,0.9428699133503381,0.014117614369857347,0.9237333763200303,0.024909500147447455,0.9284519062387915,0.06496440015674189,0.9231438812083974,0.03985452383013639,0.9625959454922786,0.03808293380090455,615,24,24,288,0.9618;0.9124;0.0048;0.9135;0.7679
hidden512_attn256,val_f1,5.6,0.9847829101567902,0.0066058651833022135,0.9747020810603756,0.009973300220332106,0.9453613673508962,0.023492740610710806,0.9332965006519254,0.032974624955493,0.914516786458279,0.038958124856573594,0.940763716208681,0.06824647293129894,0.8977470558115719,0.08359603410558103,0.9688459454922785,0.04024561014653928,619,20,32,280,0.9980;0.9124;0.0048;0.9252;0.7679
hidden512_attn256,reported,5.6,0.9847829101567902,0.0066058651833022135,0.9747020810603756,0.009973300220332106,0.9495498490262888,0.018291776756806325,0.9428699133503381,0.014117614369857347,0.9237333763200303,0.024909500147447455,0.9284519062387915,0.06496440015674189,0.9231438812083974,0.03985452383013639,0.9625959454922786,0.03808293380090455,615,24,24,288,0.9618;0.9124;0.0048;0.9135;0.7679
hidden512_sel_balacc,fixed0.5,3.8,0.9840529528004422,0.00770368578024546,0.9744561650456195,0.015674369896345686,0.941106401839386,0.02679401214352655,0.9422154340346195,0.022115015180602125,0.9141623745903091,0.03657300037264166,0.8865067861642366,0.062496629006441734,0.945468509984639,0.01841806144546498,0.9389623580845999,0.03750181318315534,600,39,17,295,0.5000;0.5000;0.5000;0.5000;0.5000
hidden512_sel_balacc,val_balacc,3.8,0.9840529528004422,0.00770368578024546,0.9744561650456195,0.015674369896345686,0.935992686778027,0.035245440454915955,0.9360510118243612,0.02644531737104467,0.9074892920829584,0.04598005406192338,0.886194151490067,0.09155478588635178,0.9359959037378391,0.03706450633570661,0.9361061199108832,0.057833324740427836,598,41,20,292,0.7996;0.1142;0.0126;0.5000;0.7652
hidden512_sel_balacc,val_f1,3.8,0.9840529528004422,0.00770368578024546,0.9744561650456195,0.015674369896345686,0.935992686778027,0.035245440454915955,0.9360510118243612,0.02644531737104467,0.9074892920829584,0.04598005406192338,0.886194151490067,0.09155478588635178,0.9359959037378391,0.03706450633570661,0.9361061199108832,0.057833324740427836,598,41,20,292,0.7996;0.1142;0.0126;0.5000;0.7652
hidden512_sel_balacc,reported,3.8,0.9840529528004422,0.00770368578024546,0.9744561650456195,0.015674369896345686,0.935992686778027,0.035245440454915955,0.9360510118243612,0.02644531737104467,0.9074892920829584,0.04598005406192338,0.886194151490067,0.09155478588635178,0.9359959037378391,0.03706450633570661,0.9361061199108832,0.057833324740427836,598,41,20,292,0.7996;0.1142;0.0126;0.5000;0.7652
