model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,1,1,0.34491922629713595,,108,36,72,0.799622654914856,0.9918981481481481,0.983133145297644,0.9722222222222222,0.9791666666666667,0.96,0.9230769230769231,1.0,0.9583333333333334,69,3,0,36
abmil,1,2,0.14882788720984938,,108,36,72,0.957366943359375,0.9945987654320987,0.9892307854446138,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,3,0.08727723872811323,,108,36,72,0.9597271084785461,0.9957561728395061,0.9919208242737655,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,4,0.050182909369459315,,108,36,72,0.9943755865097046,0.9972993827160495,0.9951109646231597,0.9814814814814815,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444,1.0,72,0,2,34
abmil,1,5,0.050092274611956866,,108,36,72,0.9856271743774414,0.9891975308641975,0.9820286495002493,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
abmil,1,6,0.023276431598347098,,108,36,72,0.9979937076568604,0.9976851851851851,0.9957207207207208,0.9814814814814815,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444,1.0,72,0,2,34
abmil,1,7,0.020682274150969557,,108,36,72,0.9345315098762512,0.9926697530864197,0.9857282059616421,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
abmil,1,8,0.010737255996410467,,108,36,72,0.9948078989982605,0.9938271604938271,0.9888985379181459,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
abmil,1,9,0.006822465805594188,,108,36,72,0.9953933954238892,0.994212962962963,0.9894270791443615,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
