model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,6,652,108,191,roc_auc,,,36,72,0.6602141261100769,0.9945987654320988,0.990640817730601,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35,63,128,0.6602141261100769,0.9763144841269841,0.9659450394785443,0.9214659685863874,0.9091641865079365,0.88,0.8870967741935484,0.873015873015873,0.9453125,121,7,8,55
abmil,2,4,652,108,191,roc_auc,,,36,72,0.8425412178039551,0.9907407407407408,0.9841117251603186,0.9629629629629629,0.9513888888888888,0.9428571428571428,0.9705882352941176,0.9166666666666666,0.9861111111111112,71,1,3,33,63,128,0.8425412178039551,0.9949156746031746,0.9916915672650097,0.9790575916230366,0.9722842261904762,0.967741935483871,0.9836065573770492,0.9523809523809523,0.9921875,127,1,3,60
abmil,3,8,650,110,191,roc_auc,,,36,74,0.2001371532678604,0.9962462462462462,0.992601019690803,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36,62,129,0.2001371532678604,0.9796199049762442,0.9632009019089043,0.9214659685863874,0.9292948237059264,0.8872180451127819,0.8309859154929577,0.9516129032258065,0.9069767441860465,117,12,3,59
abmil,4,5,652,110,189,roc_auc,,,36,74,0.6526651978492737,0.9579579579579579,0.9533064285837245,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33,62,127,0.6526651978492737,0.9879349758699518,0.9813268796721707,0.9682539682539683,0.9598679197358395,0.9508196721311475,0.9666666666666667,0.9354838709677419,0.984251968503937,125,2,4,58
abmil,5,2,654,108,189,roc_auc,,,36,72,0.6795729994773865,0.9996141975308642,0.9992492492492493,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36,62,127,0.6795729994773865,0.9909829819659639,0.9840021256690518,0.9365079365079365,0.9403733807467616,0.9076923076923077,0.8676470588235294,0.9516129032258065,0.9291338582677166,118,9,3,59
