model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,3,1,0.3402139335894026,,110,36,74,0.5,0.9894894894894894,0.9808902898142022,0.9545454545454546,0.9590840840840841,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9459459459459459,70,4,1,35
abmil,3,2,0.1677322734653717,,110,36,74,0.5,0.9932432432432432,0.9870814030320735,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,3,0.12231183247779531,,110,36,74,0.5,0.9924924924924925,0.9853019752722536,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,4,0.0729221600445621,,110,36,74,0.5,0.9917417417417418,0.9841482146599869,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,5,0.04393554717022758,,110,36,74,0.5,0.9932432432432433,0.987285394902732,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,6,0.04263046757860138,,110,36,74,0.059743765741586685,0.9898648648648649,0.9816825259005559,0.9545454545454546,0.9590840840840841,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9459459459459459,70,4,1,35
abmil,3,7,0.03247550667783239,,110,36,74,0.5,0.9891141141141142,0.9814426270732828,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,8,0.034584850188679274,,110,36,74,0.056913089007139206,0.9947447447447447,0.9892222653316566,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,9,0.027352493888455894,,110,36,74,0.026429923251271248,0.9958708708708708,0.9914537574044279,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,10,0.004623028027596005,,110,36,74,0.016041215509176254,0.9947447447447447,0.9890079642723602,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,11,0.0020113441120801884,,110,36,74,0.009439097717404366,0.9951201201201201,0.9899338901982861,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,12,0.001174598714275069,,110,36,74,0.00667940778657794,0.9954954954954954,0.9908299475459564,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,13,0.0009571084414589629,,110,36,74,0.004844478331506252,0.9958708708708709,0.9918987283022371,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36
abmil,3,14,0.014090462329711674,,110,36,74,0.12961913645267487,0.9917417417417418,0.9840151675898628,0.9545454545454546,0.9662162162162162,0.935064935064935,0.8780487804878049,1.0,0.9324324324324325,69,5,0,36
abmil,3,15,0.03596813572063988,,110,36,74,0.4328223466873169,0.9902402402402402,0.9789740129612932,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,16,0.002598534885997004,,110,36,74,0.02059004083275795,0.9932432432432432,0.985733385276221,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,17,0.0040022762805032005,,110,36,74,0.03151325136423111,0.9932432432432432,0.9854503641598666,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
abmil,3,18,0.0015271850668576931,,110,36,74,0.0023491468746215105,0.9943693693693694,0.9882989218966511,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36
