model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,1,652,108,191,balanced_accuracy,,,36,72,0.7591382265090942,0.9934413580246914,0.9864170207331409,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36,63,128,0.7591382265090942,0.9743303571428571,0.9690572131134533,0.9476439790575916,0.9367559523809523,0.9193548387096774,0.9344262295081968,0.9047619047619048,0.96875,124,4,6,57
abmil,2,13,652,108,191,balanced_accuracy,,,36,72,0.05447830259799957,0.9930555555555556,0.9852370037034506,0.9722222222222222,0.9791666666666667,0.96,0.9230769230769231,1.0,0.9583333333333334,69,3,0,36,63,128,0.05447830259799957,0.9873511904761905,0.9835012456735418,0.9424083769633508,0.9489707341269842,0.9172932330827067,0.8714285714285714,0.9682539682539683,0.9296875,119,9,2,61
abmil,3,5,650,110,191,balanced_accuracy,,,36,74,0.06442008167505264,0.9951201201201201,0.9899843455118994,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36,62,129,0.06442008167505264,0.9799949987496874,0.9620517080908427,0.900523560209424,0.9179794948737184,0.8633093525179856,0.7792207792207793,0.967741935483871,0.8682170542635659,112,17,2,60
abmil,4,2,652,110,189,balanced_accuracy,,,36,74,0.550874650478363,0.9553303303303304,0.9529205846093407,0.9545454545454546,0.9448198198198199,0.9295774647887324,0.9428571428571428,0.9166666666666666,0.972972972972973,72,2,3,33,62,127,0.550874650478363,0.9862839725679451,0.98255663612386,0.9682539682539683,0.963995427990856,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9763779527559056,124,3,3,59
abmil,5,2,654,108,189,balanced_accuracy,,,36,72,0.7090128064155579,0.9996141975308642,0.9992492492492493,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36,62,127,0.7090128064155579,0.9906019812039624,0.9832823596348617,0.9417989417989417,0.9443103886207773,0.9147286821705426,0.8805970149253731,0.9516129032258065,0.937007874015748,119,8,3,59
