model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,7,652,108,191,roc_auc,,,36,72,0.24570803344249725,0.9938271604938271,0.9882166760971711,0.9537037037037037,0.9583333333333333,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9444444444444444,68,4,1,35,63,128,0.24570803344249725,0.9734623015873015,0.9633723936620133,0.9319371727748691,0.9169766865079365,0.8943089430894309,0.9166666666666666,0.873015873015873,0.9609375,123,5,8,55
abmil,2,5,652,108,191,roc_auc,,,36,72,0.21881218254566193,0.9915123456790123,0.9840016353625225,0.9537037037037037,0.9583333333333333,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9444444444444444,68,4,1,35,63,128,0.21881218254566193,0.9926835317460317,0.9889198004819604,0.9424083769633508,0.9489707341269842,0.9172932330827067,0.8714285714285714,0.9682539682539683,0.9296875,119,9,2,61
abmil,3,5,650,110,191,roc_auc,,,36,74,0.758258044719696,0.9951201201201201,0.9901177071648688,0.9818181818181818,0.9793543543543544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9864864864864865,73,1,1,35,62,129,0.758258044719696,0.9822455613903476,0.9681363785588369,0.93717277486911,0.9241685421355339,0.9016393442622951,0.9166666666666666,0.8870967741935484,0.9612403100775194,124,5,7,55
abmil,4,8,652,110,189,roc_auc,,,36,74,0.5,0.9549549549549549,0.9469711281019467,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33,62,127,0.5,0.9870459740919482,0.9785569771744276,0.9576719576719577,0.9478663957327915,0.9344262295081968,0.95,0.9193548387096774,0.9763779527559056,124,3,5,57
abmil,5,2,654,108,189,roc_auc,,,36,72,0.6272016763687134,0.9992283950617283,0.9985380116959064,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36,62,127,0.6272016763687134,0.9876809753619508,0.9790708642290065,0.9259259259259259,0.9283718567437135,0.8923076923076924,0.8529411764705882,0.9354838709677419,0.9212598425196851,117,10,4,58
