status,rel_path,source_file,output_path,selected_tiles,embedded_tiles,skipped_missing_tiles,total_tiles,tile_size,source_tile_size,subtiles_per_tile,model_input_size,level0_cols,level0_rows,tissue_threshold,target_mpp,source_mpp,elapsed_s,output_dtype,preprocess,prefetch_batches,error
ok,S 210065904/01__.fastpath,S 210065904#S 210065904###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210065904_01_8fff0cce36.npz,1722,1722,0,21840,256,512,2,224,140,39,0.1,0.528338,0.264169,1.765,float16,gpu,1,
ok,S 210066732/01__.fastpath,S 210066732#S 210066732###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210066732_01_58505962dc.npz,410,410,0,25032,256,512,2,224,149,42,0.1,0.526028,0.263014,0.466,float16,gpu,1,
ok,S 210066877/01__.fastpath,S 210066877#S 210066877###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210066877_01_da9f679d62.npz,2385,2385,0,46488,256,512,2,224,149,78,0.1,0.526028,0.263014,2.459,float16,gpu,1,
ok,S 210067198/00__.fastpath,S 210067198###S#0.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067198_00_4dac53bf4e.npz,800,800,0,27360,256,512,2,224,95,72,0.1,0.526028,0.263014,0.904,float16,gpu,1,
ok,S 210067328/01__.fastpath,S 210067328#S 210067328###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067328_01_2791a7f8e0.npz,1337,1337,0,28416,256,512,2,224,111,64,0.1,0.528338,0.264169,1.442,float16,gpu,1,
ok,S 210067593/01__.fastpath,S 210067593#S 210067593###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067593_01_97c314df4f.npz,1259,1259,0,24000,256,512,2,224,150,40,0.1,0.526246,0.263123,1.323,float16,gpu,1,
ok,S 210067616/01__.fastpath,S 210067616#S 210067616###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067616_01_fcfde1f2bd.npz,298,298,0,18000,256,512,2,224,150,30,0.1,0.526028,0.263014,0.358,float16,gpu,1,
ok,S 210067624/01__.fastpath,S 210067624#S 210067624###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067624_01_d00c2f39eb.npz,940,940,0,20640,256,512,2,224,120,43,0.1,0.526028,0.263014,1.045,float16,gpu,1,
ok,S 210067915/01__.fastpath,S 210067915#S 210067915###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210067915_01_cc353d2a6d.npz,1772,1772,0,25168,256,512,2,224,143,44,0.1,0.526028,0.263014,1.834,float16,gpu,1,
ok,S 210068095/01__.fastpath,S 210068095#S 210068095###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210068095_01_c7ffdea594.npz,1559,1559,0,20572,256,512,2,224,139,37,0.1,0.526028,0.263014,1.627,float16,gpu,1,
ok,S 210068241/01_1.fastpath,S 210068241#S 210068241#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210068241_01_1_bff1a7512d.npz,804,804,0,22152,256,512,2,224,142,39,0.1,0.52689,0.263445,0.854,float16,gpu,1,
ok,S 210068241/02_2.fastpath,S 210068241#S 210068241#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210068241_02_2_aad8349376.npz,573,573,0,28616,256,512,2,224,146,49,0.1,0.52689,0.263445,0.665,float16,gpu,1,
ok,S 210068252/01__.fastpath,S 210068252#S 210068252###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210068252_01_8c2678e581.npz,623,623,0,30400,256,512,2,224,152,50,0.1,0.526246,0.263123,0.695,float16,gpu,1,
ok,S 210068832/01__.fastpath,S 210068832#S 210068832###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210068832_01_8747849665.npz,1995,1995,0,23680,256,512,2,224,148,40,0.1,0.526028,0.263014,2.116,float16,gpu,1,
ok,S 210069339/01__.fastpath,S 210069339#S 210069339###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210069339_01_100a865244.npz,1521,1521,0,22080,256,512,2,224,120,46,0.1,0.526246,0.263123,1.688,float16,gpu,1,
ok,S 210071213/01__.fastpath,S 210071213#S 210071213###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071213_01_583598e5ee.npz,642,642,0,21904,256,512,2,224,148,37,0.1,0.526246,0.263123,0.728,float16,gpu,1,
ok,S 210071564/01__.fastpath,S 210071564#S 210071564###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071564_01_4e94447a2d.npz,1473,1473,0,36356,256,512,2,224,149,61,0.1,0.526246,0.263123,1.531,float16,gpu,1,
ok,S 210071634/01__.fastpath,S 210071634#S 210071634###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071634_01_ff3dfa4320.npz,1495,1495,0,30888,256,512,2,224,143,54,0.1,0.526246,0.263123,1.580,float16,gpu,1,
ok,S 210071814/00____D.fastpath,S 210071814#  #D.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071814_00____D_55850b5c70.npz,838,838,0,20740,256,512,2,224,85,61,0.1,0.528338,0.264169,0.954,float16,gpu,1,
ok,S 210071814/01__.fastpath,S 210071814#S 210071814###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071814_01_b09974a626.npz,1062,1062,0,22080,256,512,2,224,115,48,0.1,0.526028,0.263014,1.127,float16,gpu,1,
ok,S 210071823/01__.fastpath,S 210071823#S 210071823###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071823_01_fd6ffb8561.npz,1332,1332,0,35496,256,512,2,224,153,58,0.1,0.526028,0.263014,1.389,float16,gpu,1,
ok,S 210071967/01__.fastpath,S 210071967#S 210071967###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210071967_01_2939025d9b.npz,946,946,0,36500,256,512,2,224,125,73,0.1,0.52689,0.263445,1.059,float16,gpu,1,
ok,S 210072097/01__.fastpath,S 210072097#S 210072097###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072097_01_b3fb3af88d.npz,1122,1122,0,21328,256,512,2,224,124,43,0.1,0.52689,0.263445,1.155,float16,gpu,1,
ok,S 210072244/01__.fastpath,S 210072244#S 210072244###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072244_01_cddf44235a.npz,2036,2036,0,32640,256,512,2,224,170,48,0.1,0.528338,0.264169,2.097,float16,gpu,1,
ok,S 210072254/01_1.fastpath,S 210072254#S 210072254#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072254_01_1_ea77d279be.npz,1253,1253,0,24160,256,512,2,224,151,40,0.1,0.528338,0.264169,1.321,float16,gpu,1,
ok,S 210072254/02_2.fastpath,S 210072254#S 210072254#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072254_02_2_80fb6a4f4c.npz,714,714,0,23088,256,512,2,224,156,37,0.1,0.528338,0.264169,0.756,float16,gpu,1,
ok,S 210072585/01__.fastpath,S 210072585#S 210072585###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072585_01_31a8f6633d.npz,944,944,0,22680,256,512,2,224,126,45,0.1,0.526028,0.263014,1.036,float16,gpu,1,
ok,S 210072884/01_1.fastpath,S 210072884#S 210072884#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072884_01_1_d8430969bf.npz,117,117,0,22032,256,512,2,224,153,36,0.1,0.52689,0.263445,0.168,float16,gpu,1,
ok,S 210072884/02_2.fastpath,S 210072884#S 210072884#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210072884_02_2_fb2d5b2058.npz,1220,1220,0,20700,256,512,2,224,115,45,0.1,0.52689,0.263445,1.305,float16,gpu,1,
ok,S 210073210/01__.fastpath,S 210073210#S 210073210###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210073210_01_c8f1812be8.npz,360,360,0,35380,256,512,2,224,145,61,0.1,0.528338,0.264169,0.441,float16,gpu,1,
ok,S 210073542/01__.fastpath,S 210073542#S 210073542###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210073542_01_cf844d2631.npz,1561,1561,0,24960,256,512,2,224,160,39,0.1,0.526028,0.263014,1.641,float16,gpu,1,
ok,S 210073809/01__.fastpath,S 210073809#S 210073809###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210073809_01_825bd11dde.npz,641,641,0,24436,256,512,2,224,149,41,0.1,0.526028,0.263014,0.695,float16,gpu,1,
ok,S 210073810/01__.fastpath,S 210073810#S 210073810###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210073810_01_63aa2a250a.npz,1222,1222,0,24192,256,512,2,224,144,42,0.1,0.526028,0.263014,1.292,float16,gpu,1,
ok,S 210073836/01__.fastpath,S 210073836#S 210073836###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210073836_01_65904a2f9b.npz,1254,1254,0,25440,256,512,2,224,159,40,0.1,0.526028,0.263014,1.342,float16,gpu,1,
ok,S 210074180/01__.fastpath,S 210074180#S 210074180###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074180_01_5cb37adef5.npz,991,991,0,21060,256,512,2,224,135,39,0.1,0.52689,0.263445,1.048,float16,gpu,1,
ok,S 210074193/01__.fastpath,S 210074193#S 210074193###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074193_01_a0e4a7ba4a.npz,929,929,0,16512,256,512,2,224,129,32,0.1,0.52689,0.263445,0.972,float16,gpu,1,
ok,S 210074766/01__.fastpath,S 210074766#S 210074766###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074766_01_4ec121b1ef.npz,769,769,0,20440,256,512,2,224,146,35,0.1,0.526028,0.263014,0.838,float16,gpu,1,
ok,S 210074939/01_1.fastpath,S 210074939#S 210074939#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074939_01_1_a390b59191.npz,710,710,0,21240,256,512,2,224,118,45,0.1,0.526028,0.263014,0.772,float16,gpu,1,
