status,rel_path,source_file,output_path,selected_tiles,embedded_tiles,skipped_missing_tiles,total_tiles,tile_size,source_tile_size,subtiles_per_tile,model_input_size,level0_cols,level0_rows,tissue_threshold,target_mpp,source_mpp,elapsed_s,output_dtype,preprocess,prefetch_batches,error
ok,S 220054726/05_4.fastpath,S 220054726#S 220054726#4##S#5.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_05_4_e62ff443d2.npz,8539,8539,0,21328,256,512,2,224,86,62,0.1,0.528338,0.264169,9.524,float16,gpu,1,
ok,S 220054726/06_5.fastpath,S 220054726#S 220054726#5##S#6.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_06_5_0ac44e7816.npz,8293,8293,0,23852,256,512,2,224,89,67,0.1,0.528338,0.264169,8.930,float16,gpu,1,
ok,S 220054726/07_6.fastpath,S 220054726#S 220054726#6##S#7.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_07_6_2081f863c1.npz,8983,8983,0,22192,256,512,2,224,76,73,0.1,0.528338,0.264169,9.571,float16,gpu,1,
ok,S 220054726/09_8.fastpath,S 220054726#S 220054726#8##S#9.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_09_8_b8fc402894.npz,8246,8246,0,19272,256,512,2,224,66,73,0.1,0.528338,0.264169,8.776,float16,gpu,1,
ok,S 220054726/13_12.fastpath,S 220054726#S 220054726#12##S#13.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_13_12_a0c6297bac.npz,8004,8004,0,19840,256,512,2,224,80,62,0.1,0.528338,0.264169,8.481,float16,gpu,1,
ok,S 220054726/14_13.fastpath,S 220054726#S 220054726#13##S#14.svs,/home/eteriny/projects/foundation_inference/outputs/uni_speed_bench_20260503_b256_w16_pf1/S_220054726_14_13_c4a514fc39.npz,13294,13294,0,31080,256,512,2,224,105,74,0.1,0.528338,0.264169,14.300,float16,gpu,1,
