model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,1,652,108,191,balanced_accuracy,,,36,72,0.8588987588882446,0.9930555555555556,0.9850221294689685,0.9722222222222222,0.9791666666666667,0.96,0.9230769230769231,1.0,0.9583333333333334,69,3,0,36,63,128,0.8588987588882446,0.978546626984127,0.9713347411057685,0.93717277486911,0.9208829365079365,0.9016393442622951,0.9322033898305084,0.873015873015873,0.96875,124,4,8,55
abmil,2,4,652,108,191,balanced_accuracy,,,36,72,0.8414624333381653,0.9907407407407407,0.9847025216706069,0.9722222222222222,0.9583333333333333,0.9565217391304348,1.0,0.9166666666666666,1.0,72,0,3,33,63,128,0.8414624333381653,0.9911954365079365,0.9862004023235296,0.9528795811518325,0.9326016865079365,0.9243697478991597,0.9821428571428571,0.873015873015873,0.9921875,127,1,8,55
abmil,3,5,650,110,191,balanced_accuracy,,,36,74,0.01172560453414917,0.993993993993994,0.9878563089540382,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36,62,129,0.01172560453414917,0.9774943735933983,0.9586547038542588,0.8743455497382199,0.894411102775694,0.8309859154929577,0.7375,0.9516129032258065,0.8372093023255814,108,21,3,59
abmil,4,2,652,110,189,balanced_accuracy,,,36,74,0.5,0.9605855855855856,0.9546947332615028,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33,62,127,0.5,0.9911099822199645,0.9871902073223429,0.9788359788359788,0.9718694437388875,0.9672131147540983,0.9833333333333333,0.9516129032258065,0.9921259842519685,126,1,3,59
abmil,5,1,654,108,189,balanced_accuracy,,,36,72,0.7885316610336304,0.9988425925925927,0.997683993517327,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36,62,127,0.7885316610336304,0.9902209804419609,0.9819115153304296,0.9417989417989417,0.9360553721107442,0.912,0.9047619047619048,0.9193548387096774,0.952755905511811,121,6,5,57
