model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,2,1,0.3672026794384508,,108,36,72,0.7026314735412598,0.9861111111111112,0.9757766349362185,0.9444444444444444,0.9375,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,69,3,3,33
abmil,2,2,0.17455715425398224,,108,36,72,0.5,0.9876543209876544,0.9779567209003406,0.9351851851851852,0.9444444444444444,0.9090909090909091,0.8536585365853658,0.9722222222222222,0.9166666666666666,66,6,1,35
abmil,2,3,0.11373462789465046,,108,36,72,0.3004414737224579,0.9876543209876543,0.9806444248289659,0.9722222222222222,0.9722222222222222,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9722222222222222,70,2,1,35
abmil,2,4,0.058027623040294324,,108,36,72,0.9214242100715637,0.9915123456790124,0.9853654892300583,0.9629629629629629,0.9513888888888888,0.9428571428571428,0.9705882352941176,0.9166666666666666,0.9861111111111112,71,1,3,33
abmil,2,5,0.042168387856451044,,108,36,72,0.1929870992898941,0.9911265432098766,0.9850631726805098,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35
abmil,2,6,0.035748405460780994,,108,36,72,0.17091083526611328,0.992283950617284,0.9860932607395834,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35
abmil,2,7,0.023444532610885034,,108,36,72,0.2307198941707611,0.9926697530864198,0.9869280523397134,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35
abmil,2,8,0.005132044074452671,,108,36,72,0.5,0.9930555555555555,0.98713442501492,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
