model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,1,1,0.34491922629713595,,108,36,72,0.799622654914856,0.9918981481481481,0.983133145297644,0.9722222222222222,0.9791666666666667,0.96,0.9230769230769231,1.0,0.9583333333333334,69,3,0,36
abmil,1,2,0.14882788720984938,,108,36,72,0.6804279088973999,0.9945987654320987,0.9892307854446138,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36
abmil,1,3,0.08727723872811323,,108,36,72,0.42163199186325073,0.9957561728395061,0.9919208242737655,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36
abmil,1,4,0.050182909369459315,,108,36,72,0.9840488433837891,0.9972993827160495,0.9951109646231597,0.9722222222222222,0.9722222222222222,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9722222222222222,70,2,1,35
abmil,1,5,0.050092274611956866,,108,36,72,0.9856271743774414,0.9891975308641975,0.9820286495002493,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
abmil,1,6,0.023276431598347098,,108,36,72,0.9618040919303894,0.9976851851851851,0.9957207207207208,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36
