model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,4,1,0.3989691946122001,,110,36,74,0.6661462783813477,0.9493243243243243,0.9447176198371554,0.9545454545454546,0.9305555555555556,0.9253731343283582,1.0,0.8611111111111112,1.0,74,0,5,31
abmil,4,2,0.1681709987027203,,110,36,74,0.6596333980560303,0.9553303303303303,0.9514310633765608,0.9545454545454546,0.9376876876876876,0.927536231884058,0.9696969696969697,0.8888888888888888,0.9864864864864865,73,1,4,32
abmil,4,3,0.10975436648522487,,110,36,74,0.6655208468437195,0.9575825825825826,0.9514291280774134,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33
abmil,4,4,0.07396928494755269,,110,36,74,0.7802192568778992,0.9624624624624625,0.9565822945390936,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33
abmil,4,5,0.04755645752878087,,110,36,74,0.5,0.9534534534534533,0.9460561529445939,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,6,0.024987030188707304,,110,36,74,0.4193768799304962,0.9512012012012012,0.940553627516621,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,7,0.03645290821171391,,110,36,74,0.4813627302646637,0.9564564564564564,0.9496854828543426,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,8,0.018413643506175748,,110,36,74,0.1255454272031784,0.9553303303303303,0.9444573774026694,0.9181818181818182,0.9177927927927928,0.88,0.8461538461538461,0.9166666666666666,0.918918918918919,68,6,3,33
abmil,4,9,0.021913549288973645,,110,36,74,0.19429878890514374,0.9485735735735736,0.9399270623837055,0.9272727272727272,0.9245495495495495,0.8918918918918919,0.868421052631579,0.9166666666666666,0.9324324324324325,69,5,3,33
