model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,3,1,0.4487336781914704,,110,36,74,0.665376603603363,0.9902402402402403,0.9820601083399324,0.9454545454545454,0.9523273273273274,0.9210526315789473,0.875,0.9722222222222222,0.9324324324324325,69,5,1,35
abmil,3,2,0.2082513220582265,,110,36,74,0.17908860743045807,0.9932432432432432,0.9873245092721837,0.9363636363636364,0.9527027027027026,0.9113924050632911,0.8372093023255814,1.0,0.9054054054054054,67,7,0,36
abmil,3,3,0.16323870895685663,,110,36,74,0.5,0.9939939939939939,0.9882894033387455,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,4,0.11882751801408281,,110,36,74,0.45646238327026367,0.9936186186186186,0.9871764624408583,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,5,0.09639788260611777,,110,36,74,0.758258044719696,0.9951201201201201,0.9901177071648688,0.9818181818181818,0.9793543543543544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9864864864864865,73,1,1,35
abmil,3,6,0.07440625262839883,,110,36,74,0.5,0.9928678678678678,0.9857399068376361,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,7,0.052887796600824426,,110,36,74,0.5,0.9939939939939939,0.9882894033387455,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,8,0.030702984411787978,,110,36,74,0.5,0.9943693693693694,0.9890742651836564,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,9,0.02916701814641958,,110,36,74,0.040715575218200684,0.9932432432432432,0.9872854007000349,0.9454545454545454,0.9594594594594594,0.9230769230769231,0.8571428571428571,1.0,0.918918918918919,68,6,0,36
abmil,3,10,0.016768749288827305,,110,36,74,0.3052310645580292,0.9936186186186186,0.9878762358107525,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
