model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,4,1,0.4056857771353019,,110,36,74,0.7480974793434143,0.9515765765765766,0.9472349462868375,0.9545454545454546,0.9305555555555556,0.9253731343283582,1.0,0.8611111111111112,1.0,74,0,5,31
abmil,4,2,0.16729439700652982,,110,36,74,0.6455883383750916,0.954954954954955,0.9516631110417404,0.9545454545454546,0.9376876876876876,0.927536231884058,0.9696969696969697,0.8888888888888888,0.9864864864864865,73,1,4,32
abmil,4,3,0.11412741005201245,,110,36,74,0.6256595253944397,0.9557057057057057,0.9492876915253902,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,4,0.07613538234926095,,110,36,74,0.7784594297409058,0.9579579579579579,0.951789897910254,0.9545454545454546,0.9448198198198199,0.9295774647887324,0.9428571428571428,0.9166666666666666,0.972972972972973,72,2,3,33
abmil,4,5,0.047235441376005,,110,36,74,0.5,0.956081081081081,0.95005349007889,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,6,0.03483625893548998,,110,36,74,0.3759109675884247,0.9568318318318318,0.945581476246577,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,7,0.02767316096559698,,110,36,74,0.8354117274284363,0.956081081081081,0.9490521246493133,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,8,0.027916964676877827,,110,36,74,0.4929777979850769,0.9444444444444445,0.9321961719951664,0.9272727272727272,0.9174174174174174,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9459459459459459,70,4,4,32
