model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,4,1,0.4068781977956486,,110,36,74,0.7051988244056702,0.950075075075075,0.9458019060346607,0.9545454545454546,0.9305555555555556,0.9253731343283582,1.0,0.8611111111111112,1.0,74,0,5,31
abmil,4,2,0.1717853159284822,,110,36,74,0.6777931451797485,0.9542042042042043,0.9511715968890242,0.9545454545454546,0.9376876876876876,0.927536231884058,0.9696969696969697,0.8888888888888888,0.9864864864864865,73,1,4,32
abmil,4,3,0.1143507560113987,,110,36,74,0.7160396575927734,0.9594594594594594,0.9544303905810396,0.9545454545454546,0.9448198198198199,0.9295774647887324,0.9428571428571428,0.9166666666666666,0.972972972972973,72,2,3,33
abmil,4,4,0.07963673957649699,,110,36,74,0.8787592649459839,0.9609609609609608,0.9554633755859248,0.9545454545454546,0.9448198198198199,0.9295774647887324,0.9428571428571428,0.9166666666666666,0.972972972972973,72,2,3,33
abmil,4,5,0.05249377687066764,,110,36,74,0.784134566783905,0.9553303303303303,0.9502467500822764,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33
abmil,4,6,0.03214297239296098,,110,36,74,0.44039076566696167,0.956081081081081,0.9439707476710286,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,7,0.0322688637106122,,110,36,74,0.9887806177139282,0.9635885885885886,0.9560702581125118,0.9454545454545454,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334,1.0,74,0,6,30
abmil,4,8,0.029022869874726638,,110,36,74,0.49941059947013855,0.9613363363363363,0.9502813673200847,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
