model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,3,652,108,191,roc_auc,,,36,72,0.6587904691696167,0.9957561728395061,0.9917087891110725,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36,63,128,0.6587904691696167,0.9797867063492063,0.9701986663498933,0.9319371727748691,0.9210069444444444,0.896,0.9032258064516129,0.8888888888888888,0.953125,122,6,7,56
abmil,2,4,652,108,191,roc_auc,,,36,72,0.8885192275047302,0.9915123456790123,0.9850998674528086,0.9629629629629629,0.9513888888888888,0.9428571428571428,0.9705882352941176,0.9166666666666666,0.9861111111111112,71,1,3,33,63,128,0.8885192275047302,0.9928075396825397,0.989526014630054,0.9738219895287958,0.9643477182539683,0.959349593495935,0.9833333333333333,0.9365079365079365,0.9921875,127,1,4,59
abmil,3,5,650,110,191,roc_auc,,,36,74,0.06749474257230759,0.9951201201201201,0.9899843455118994,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36,62,129,0.06749474257230759,0.9799949987496874,0.9627562411224735,0.9057591623036649,0.9176669167291823,0.8676470588235294,0.7972972972972973,0.9516129032258065,0.8837209302325582,114,15,3,59
abmil,4,4,652,110,189,roc_auc,,,36,74,0.7802192568778992,0.9624624624624625,0.9565822945390936,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33,62,127,0.7802192568778992,0.9865379730759462,0.9780126722357354,0.9682539682539683,0.955740411480823,0.95,0.9827586206896551,0.9193548387096774,0.9921259842519685,126,1,5,57
abmil,5,2,654,108,189,roc_auc,,,36,72,0.672821581363678,0.9992283950617283,0.9985380116959064,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36,62,127,0.672821581363678,0.9908559817119634,0.9837996881825835,0.9365079365079365,0.9403733807467616,0.9076923076923077,0.8676470588235294,0.9516129032258065,0.9291338582677166,118,9,3,59
