model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,5,1,0.40861729818000386,,108,36,72,0.6912761330604553,0.9988425925925926,0.9977664067576348,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36
abmil,5,2,0.19558853877919075,,108,36,72,0.6952104568481445,0.9996141975308642,0.9992492492492493,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36
abmil,5,3,0.14497637568599372,,108,36,72,0.8651758432388306,0.9969135802469136,0.9947064312374391,0.9814814814814815,0.9791666666666667,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,71,1,1,35
abmil,5,4,0.09246789196507522,,108,36,72,0.9472905397415161,0.9969135802469136,0.994949494949495,0.9907407407407407,0.9861111111111112,0.9859154929577465,1.0,0.9722222222222222,1.0,72,0,1,35
abmil,5,5,0.06685433238221734,,108,36,72,0.9463363885879517,0.9957561728395061,0.9934988179669031,0.9907407407407407,0.9861111111111112,0.9859154929577465,1.0,0.9722222222222222,1.0,72,0,1,35
abmil,5,6,0.05763937733662568,,108,36,72,0.9722409844398499,0.9976851851851851,0.996031746031746,0.9907407407407407,0.9861111111111112,0.9859154929577465,1.0,0.9722222222222222,1.0,72,0,1,35
