model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,5,1,0.4254950614420367,,108,36,72,0.7031826376914978,0.9988425925925926,0.9977664067576348,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36
abmil,5,2,0.21336251769509645,,108,36,72,0.6795729994773865,0.9996141975308642,0.9992492492492493,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36
abmil,5,3,0.15084067471531884,,108,36,72,0.8328554034233093,0.9972993827160493,0.9952601410934745,0.9814814814814815,0.9791666666666667,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,71,1,1,35
abmil,5,4,0.10387167326419522,,108,36,72,0.900288462638855,0.994212962962963,0.9914506172839507,0.9814814814814815,0.9791666666666667,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,71,1,1,35
abmil,5,5,0.07967572537828466,,108,36,72,0.9234560132026672,0.9945987654320988,0.9915540540540542,0.9722222222222222,0.9722222222222222,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9722222222222222,70,2,1,35
abmil,5,6,0.053903608412524076,,108,36,72,0.8877484202384949,0.9953703703703703,0.9896452483464734,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36
abmil,5,7,0.05510093377774823,,108,36,72,0.9506807327270508,0.9961419753086419,0.9929196002725414,0.9722222222222222,0.9722222222222222,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9722222222222222,70,2,1,35
