model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,1,1,0.3796309449994205,,108,36,72,0.7265639305114746,0.9930555555555556,0.9857610003402784,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36
abmil,1,2,0.165707416771204,,108,36,72,0.9047021269798279,0.9915123456790124,0.9834742831842801,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,3,0.10476354507703878,,108,36,72,0.6587904691696167,0.9957561728395061,0.9917087891110725,0.9629629629629629,0.9722222222222222,0.9473684210526315,0.9,1.0,0.9444444444444444,68,4,0,36
abmil,1,4,0.05117425969145445,,108,36,72,0.973158061504364,0.9938271604938271,0.9886462547263302,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,5,0.030282911631701905,,108,36,72,0.9916604161262512,0.9934413580246912,0.9878839840978124,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,6,0.01582546831680261,,108,36,72,0.6080489158630371,0.9926697530864198,0.9866259362722589,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35
abmil,1,7,0.010446356091823109,,108,36,72,0.991705060005188,0.9903549382716049,0.9839406735691361,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
abmil,1,8,0.006482102665571706,,108,36,72,0.998767614364624,0.9926697530864198,0.9871686797797732,0.9722222222222222,0.9652777777777778,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.9861111111111112,71,1,2,34
