model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,4,1,0.3503296993239147,,110,36,74,0.534385085105896,0.951951951951952,0.9449698830660058,0.9454545454545454,0.9237987987987988,0.9117647058823529,0.96875,0.8611111111111112,0.9864864864864865,73,1,5,31
abmil,4,2,0.13852814219350815,,110,36,74,0.5730843544006348,0.9650900900900901,0.9582647471256343,0.9545454545454546,0.9448198198198199,0.9295774647887324,0.9428571428571428,0.9166666666666666,0.972972972972973,72,2,3,33
abmil,4,3,0.09624225727467745,,110,36,74,0.517032265663147,0.9542042042042042,0.9483383844315173,0.9363636363636364,0.9313063063063063,0.9041095890410958,0.8918918918918919,0.9166666666666666,0.9459459459459459,70,4,3,33
abmil,4,4,0.0537736169501679,,110,36,74,0.8306999206542969,0.9632132132132132,0.9535059632883922,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33
abmil,4,5,0.04145318616124342,,110,36,74,0.7503282427787781,0.9493243243243243,0.9366156141459879,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33
abmil,4,6,0.011986942804765772,,110,36,74,0.006482526659965515,0.954954954954955,0.9394690731804747,0.9,0.9042792792792793,0.8571428571428571,0.8048780487804879,0.9166666666666666,0.8918918918918919,66,8,3,33
abmil,4,7,0.05752386826284622,,110,36,74,0.9355790019035339,0.9534534534534534,0.9396756045442274,0.9363636363636364,0.9241741741741741,0.9014084507042254,0.9142857142857143,0.8888888888888888,0.9594594594594594,71,3,4,32
