model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,2,650,110,191,roc_auc,,,43,67,0.2119528353214264,0.9191253037139882,0.8275946850555438,0.8727272727272727,0.8830267268309615,0.851063829787234,0.7843137254901961,0.9302325581395349,0.835820895522388,56,11,3,40,74,117,0.2119528353214264,0.9034419034419034,0.8192818095901295,0.837696335078534,0.8551051051051051,0.8165680473372781,0.7263157894736842,0.9324324324324325,0.7777777777777778,91,26,5,69
abmil,2,3,652,110,189,roc_auc,,,43,67,0.495948851108551,0.9028115237764665,0.8236525909129275,0.8181818181818182,0.8340853870183964,0.7959183673469388,0.7090909090909091,0.9069767441860465,0.7611940298507462,51,16,4,39,73,116,0.495948851108551,0.9346953235710912,0.8941594237112869,0.873015873015873,0.8813179026924893,0.8481012658227848,0.788235294117647,0.9178082191780822,0.8448275862068966,98,18,6,67
abmil,3,3,651,110,190,roc_auc,,,43,67,0.6930503845214844,0.9139187782020133,0.8413947084044093,0.8636363636363636,0.8797292606733773,0.845360824742268,0.7592592592592593,0.9534883720930233,0.8059701492537313,54,13,2,41,74,116,0.6930503845214844,0.9026095060577819,0.81111049127249,0.8315789473684211,0.8278191985088537,0.7894736842105263,0.7692307692307693,0.8108108108108109,0.8448275862068966,98,18,14,60
abmil,4,8,652,108,191,roc_auc,,,42,66,0.5,0.9336219336219337,0.8705928471084987,0.8796296296296297,0.8928571428571428,0.8602150537634409,0.7843137254901961,0.9523809523809523,0.8333333333333334,55,11,2,40,75,116,0.5,0.9142528735632184,0.8464023136318473,0.8586387434554974,0.8789080459770116,0.8439306358381503,0.7448979591836735,0.9733333333333334,0.7844827586206896,91,25,2,73
abmil,5,1,651,110,190,roc_auc,,,43,67,0.4679027795791626,0.9319680666435265,0.8462800054121564,0.8727272727272727,0.8871919472405415,0.8541666666666666,0.7735849056603774,0.9534883720930233,0.8208955223880597,55,12,2,41,74,116,0.4679027795791626,0.9059878844361603,0.8127881212033651,0.7947368421052632,0.8294501397949674,0.7891891891891892,0.6576576576576577,0.9864864864864865,0.6724137931034483,78,38,1,73
