model,fold,checkpoint,best_epoch,train_n,val_n,test_n,val_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity
abmil,1,outputs/biopsy_mil_binary_abmil_5fold_checkpoints/abmil/fold_1/best_model.pt,6,652,108,191,0.2881675958633423,0.9779265873015873,0.9682726440035703,0.93717277486911,0.9289434523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.953125
abmil,2,outputs/biopsy_mil_binary_abmil_5fold_checkpoints/abmil/fold_2/best_model.pt,7,652,108,191,0.06273159384727478,0.9916914682539683,0.9883896482052924,0.9319371727748691,0.9411582341269842,0.9037037037037037,0.8472222222222222,0.9682539682539683,0.9140625
abmil,3,outputs/biopsy_mil_binary_abmil_5fold_checkpoints/abmil/fold_3/best_model.pt,5,650,110,191,0.07891736924648285,0.9798699674918729,0.9627013028653586,0.9109947643979057,0.9215428857214304,0.8740740740740741,0.8082191780821918,0.9516129032258065,0.8914728682170543
abmil,4,outputs/biopsy_mil_binary_abmil_5fold_checkpoints/abmil/fold_4/best_model.pt,4,652,110,189,0.7784594297409058,0.9859029718059437,0.9778483110833214,0.9682539682539683,0.955740411480823,0.95,0.9827586206896551,0.9193548387096774,0.9921259842519685
abmil,5,outputs/biopsy_mil_binary_abmil_5fold_checkpoints/abmil/fold_5/best_model.pt,2,654,108,189,0.6952104568481445,0.9919989839979679,0.9862185994695065,0.9365079365079365,0.9403733807467616,0.9076923076923077,0.8676470588235294,0.9516129032258065,0.9291338582677166
