model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,5,1,0.36278857925119284,,108,36,72,0.7679303288459778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72,0,0,36
abmil,5,2,0.17440380575598163,,108,36,72,0.781675398349762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72,0,0,36
abmil,5,3,0.11281195242833778,,108,36,72,0.8905898928642273,0.9953703703703705,0.9892881098314401,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36
abmil,5,4,0.07733463848782515,,108,36,72,0.9413714408874512,0.9976851851851851,0.996031746031746,0.9907407407407407,0.9861111111111112,0.9859154929577465,1.0,0.9722222222222222,1.0,72,0,1,35
abmil,5,5,0.041976190200939276,,108,36,72,0.8938817977905273,0.9992283950617283,0.9985380116959064,0.9814814814814815,0.9861111111111112,0.972972972972973,0.9473684210526315,1.0,0.9722222222222222,70,2,0,36
abmil,5,6,0.038476627199423546,,108,36,72,0.854943573474884,0.9984567901234568,0.9970916429249763,0.9722222222222222,0.9791666666666667,0.96,0.9230769230769231,1.0,0.9583333333333334,69,3,0,36
