model,fold,best_epoch,train_n,val_n,test_n,selection_metric,calibration_metric,class_biases,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_positive,test_negative,test_threshold,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
abmil,1,3,652,108,191,f1,,,36,72,0.9761290550231934,0.998070987654321,0.9963617463617465,0.9814814814814815,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444,1.0,72,0,2,34,63,128,0.9761290550231934,0.9825148809523809,0.9740100778247375,0.9109947643979057,0.8650793650793651,0.8440366972477065,1.0,0.7301587301587301,1.0,128,0,17,46
abmil,2,4,652,108,191,f1,,,36,72,0.8531947135925293,0.9888117283950617,0.9820030462967129,0.9722222222222222,0.9583333333333333,0.9565217391304348,1.0,0.9166666666666666,1.0,72,0,3,33,63,128,0.8531947135925293,0.9920634920634921,0.9885732998282935,0.9685863874345549,0.9523809523809523,0.95,1.0,0.9047619047619048,1.0,128,0,6,57
abmil,3,7,650,110,191,f1,,,36,74,0.09706836938858032,0.9936186186186186,0.9860905055373446,0.9727272727272728,0.9797297297297297,0.96,0.9230769230769231,1.0,0.9594594594594594,71,3,0,36,62,129,0.09706836938858032,0.9846211552888222,0.9684570284863884,0.93717277486911,0.9451112778194548,0.9090909090909091,0.8571428571428571,0.967741935483871,0.9224806201550387,119,10,2,60
abmil,4,5,652,110,189,f1,,,36,74,0.7102231979370117,0.950075075075075,0.9377379806279003,0.9454545454545454,0.9380630630630631,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9594594594594594,71,3,3,33,62,127,0.7102231979370117,0.9893319786639574,0.9822154019341578,0.9735449735449735,0.9638049276098553,0.9586776859504132,0.9830508474576272,0.9354838709677419,0.9921259842519685,126,1,4,58
abmil,5,1,654,108,189,f1,,,36,72,0.7975059747695923,0.9992283950617284,0.9984776443109777,0.9907407407407407,0.9930555555555556,0.9863013698630136,0.972972972972973,1.0,0.9861111111111112,71,1,0,36,62,127,0.7975059747695923,0.9889509779019557,0.9795329898406384,0.9417989417989417,0.9360553721107442,0.912,0.9047619047619048,0.9193548387096774,0.952755905511811,121,6,5,57
